mass_mev,epsilon,production_probability,mean_decay_probability,mean_reco_probability,expected_produced,expected_decays,expected_signal,expected_background,signal_to_background,significance
10.0,3e-07,4.478779495879028e-15,0.0010686824162959685,0.00040713115671776336,0.02239389747939514,2.3931964468564195e-05,9.117253384205149e-06,13453.776000000003,6.776724530128305e-10,2.709079394618975e-09
10.0,1e-06,4.976421662087809e-14,0.011837358387562528,0.004519311624485437,0.24882108310439047,0.002945384335088149,0.0011245000132907288,13453.776000000003,8.358248370500063e-08,3.341313098232228e-07
10.0,3e-06,4.478779495879029e-13,0.09494725896046163,0.03623584549450016,2.2393897479395144,0.21262391831101599,0.0811461809083039,13453.776000000003,6.031480002960052e-06,2.4111586832888588e-05
10.0,1e-05,4.976421662087812e-12,0.30293823754123644,0.11180190453726425,24.882108310439058,7.537742037874561,2.781867098009577,13453.776000000003,0.00020677221755509948,0.0008265974977554331
30.0,3e-07,4.031818955535324e-15,0.009449535598591097,0.004251005186237941,0.02015909477767662,0.0001904940837370271,8.569641644976552e-05,13453.776000000003,6.369692527195748e-09,2.5463633203278154e-08
30.0,1e-06,4.479798839483692e-14,0.09427491366578938,0.04243926713721648,0.22398994197418462,0.02111663244162143,0.00950596898349204,13453.776000000003,7.065651296329029e-07,2.8245814406868646e-06
30.0,3e-06,4.0318189555353236e-13,0.31002560919586825,0.13827751286646214,2.0159094777676616,0.6249835639286438,0.2787549487496408,13453.776000000003,2.0719458146890562e-05,8.282859497071625e-05
30.0,1e-05,4.479798839483695e-12,0.0028873057657251584,0.0012567506399549888,22.398994197418475,0.06467274509265072,0.02814995029195375,13453.776000000003,2.0923456947665655e-06,8.364410539208543e-06
60.0,3e-07,3.4527045472660028e-15,0.037384225115159285,0.017662585285220002,0.017263522736330014,0.0006453834202556319,0.00030491844265376347,13453.776000000003,2.266415336882102e-08,9.06027544944265e-08
60.0,1e-06,3.8363383858511135e-14,0.2503792989279097,0.1178227927328738,0.19181691929255568,0.04802698577498153,0.022600405124465168,13453.776000000003,1.6798559099293138e-06,6.715431638523826e-06
60.0,3e-06,3.452704547266003e-13,0.09332928905021297,0.0435206257283003,1.7263522736330015,0.16111923034838674,0.07513193117598213,13453.776000000003,5.584449389969188e-06,2.2324526702240912e-05
60.0,1e-05,3.836338385851115e-12,7.649039829817626e-10,3.5299203580635283e-10,19.181691929255578,1.4672152557016722e-08,6.770984484318214e-09,13453.776000000003,5.032776288469655e-13,2.011914528944556e-12
100.0,3e-07,2.820267238418434e-15,0.09313751654527917,0.044825494673897966,0.014101336192092171,0.0013133634329015285,0.0006320993703734722,13453.776000000003,4.6983045531118704e-08,1.878205318497563e-07
100.0,1e-06,3.133630264909371e-14,0.30204246354229886,0.14486694439594808,0.15668151324546856,0.04732447025219665,0.022697972067204294,13453.776000000003,1.687107921761466e-06,6.7444224522077415e-06
100.0,3e-06,2.8202672384184343e-13,0.00295099624175307,0.0014055387556131064,1.410133619209217,0.004161299010656054,0.001981997452391529,13453.776000000003,1.4731904651835503e-07,5.889260978271367e-07
100.0,1e-05,3.1336302649093723e-12,1.4483082718459611e-24,6.86869037623192e-25,15.668151324546862,2.2692313167875473e-23,1.0761968021626045e-23,13453.776000000003,7.999217484835515e-28,3.1977860638867415e-27
